Company,Source / Entry point,Sector/Industry,HQ / Locations,Employee count / Size,Website,General email,Phone,LinkedIn URL,HR/People contact (name),HR contact title,HR contact email,HR mailbox (confirmed),HR contact email — inferred (pattern + basis),"CEO/Leadership (name, small cos)",Leadership email,Source(s),Relevance note,Status,All emails found (verbatim),Inferred emails (pattern + basis)
Campo Dulce Curados (Grupo Jorge),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Food (Iberian ham),Zuera (Zaragoza prov.),large,https://campodulcecurados.com,campodulce@jorgesl.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://campodulcecurados.com,"Batch-3 directory candidate (broadened filter): Food (Iberian ham), Zuera. Assess corporate-housing fit/size.",partial,campodulce@jorgesl.com,Pattern undetermined
PPSSA (Grupo Jorge),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Food by-product processing,Zuera (Zaragoza prov.),medium,https://www.ppssa.com,ppssa@ppssa.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.ppssa.com,"Batch-3 directory candidate (broadened filter): Food by-product processing, Zuera. Assess corporate-housing fit/size.",partial,ppssa@ppssa.com,Pattern undetermined
Friolimpio (Grupo Jorge),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial refrigeration/logistics,Zuera (Zaragoza prov.),medium,,friolimpio@friolimpio.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),"Batch-3 directory candidate (broadened filter): Industrial refrigeration/logistics, Zuera. Assess corporate-housing fit/size.",partial,friolimpio@friolimpio.com,Pattern undetermined
"Agrotécnica Los Antonios, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Agricultural machinery mfg,Tauste (Zaragoza prov.),medium,https://losantonios.com,losantonios@losantonios.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://losantonios.com,"Batch-3 directory candidate (broadened filter): Agricultural machinery mfg, Tauste. Assess corporate-housing fit/size.",partial,losantonios@losantonios.es,Pattern undetermined
Talleres MVera (Mariano Vera),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Agricultural machinery/trailers mfg,Tauste (Zaragoza prov.),small,https://talleresmvera.com,mvera@grupo-driver.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://talleresmvera.com,"Batch-3 directory candidate (broadened filter): Agricultural machinery/trailers mfg, Tauste. Assess corporate-housing fit/size.",partial,mvera@grupo-driver.com,Pattern undetermined
"Celulosa Gallur, S.L. (Magnia Group)",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Paper/recycled cardboard mfg,Gallur (Zaragoza prov.),large,https://celulosagallur.com,general@celulosagallur.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://celulosagallur.com,"Batch-3 directory candidate (broadened filter): Paper/recycled cardboard mfg, Gallur. Assess corporate-housing fit/size.",partial,general@celulosagallur.com,Pattern undetermined
"COPO Zaragoza, S.A.U. (Grupo Copo)",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Automotive (polyester/polyurethane),Fuentes de Ebro (Zaragoza prov.),large,https://www.grupocopo.com,copozaragoza@grupocopo.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.grupocopo.com,"Batch-3 directory candidate (broadened filter): Automotive (polyester/polyurethane), Fuentes de Ebro. Assess corporate-housing fit/size.",partial,copozaragoza@grupocopo.com,Pattern undetermined
"Jumosol Fruits, S.L. / Cebollas Agrofuentes",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Agri-food (onion processing/packing),Fuentes de Ebro (Zaragoza prov.),medium,https://jumosol.com,clientes@jumosol.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://jumosol.com,"Batch-3 directory candidate (broadened filter): Agri-food (onion processing/packing), Fuentes de Ebro. Assess corporate-housing fit/size.",partial,clientes@jumosol.com,Pattern undetermined
"Euro Crane, S.A.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Crane/lifting equipment mfg,El Burgo de Ebro (Zaragoza prov.),medium,https://www.midicranes.com,info@eurocrane.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.midicranes.com,"Batch-3 directory candidate (broadened filter): Crane/lifting equipment mfg, El Burgo de Ebro. Assess corporate-housing fit/size.",partial,info@eurocrane.es,Pattern undetermined
TAISI (José María Lázaro S.A.),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Agri-food (candied fruit/jams),Calatayud (Zaragoza prov.),mid,https://taisi.es,taisi@taisi.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://taisi.es,"Batch-3 directory candidate (broadened filter): Agri-food (candied fruit/jams), Calatayud. Assess corporate-housing fit/size.",partial,taisi@taisi.es,Pattern undetermined
Conservas Lazaya (Lazaya Frutas y Dulces S.A.),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Agri-food (preserves/fruit),Calatayud (Zaragoza prov.),mid,https://www.lazayafruits.com,lazaya@lazaya.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.lazayafruits.com,"Batch-3 directory candidate (broadened filter): Agri-food (preserves/fruit), Calatayud. Assess corporate-housing fit/size.",partial,lazaya@lazaya.es,Pattern undetermined
Bodegas Langa Hnos. S.L.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Winery (DO Calatayud),Calatayud (Zaragoza prov.),mid,https://www.bodegas-langa.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.bodegas-langa.com,"Batch-3 directory candidate (broadened filter): Winery (DO Calatayud), Calatayud. Assess corporate-housing fit/size.",list-only,None found verbatim,info@bodegas-langa.com (inferred)
SIGIT Automotive (Indeplas Sistemas),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Automotive plastics (auxiliary),Calatayud (Zaragoza prov.),~250 cluster,https://www.sigit.it,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.sigit.it,"Batch-3 directory candidate (broadened filter): Automotive plastics (auxiliary), Calatayud. Assess corporate-housing fit/size.",list-only,None found verbatim,info@sigit.it (inferred)
Elmeg Ibérica,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Automotive plastics,Calatayud (Zaragoza prov.),mid,https://www.elmeg.it,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.elmeg.it,"Batch-3 directory candidate (broadened filter): Automotive plastics, Calatayud. Assess corporate-housing fit/size.",list-only,None found verbatim,info@elmeg.it (inferred)
Caballero Logística y Transporte (Transcaballero),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Logistics/transport,Calatayud (Zaragoza prov.),mid,http://www.transcaballero.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); http://www.transcaballero.com,"Batch-3 directory candidate (broadened filter): Logistics/transport, Calatayud. Assess corporate-housing fit/size.",list-only,None found verbatim,info@transcaballero.com (inferred)
Cosanse (Soc. Coop. Agraria San Sebastián),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Agri-food (fruit cooperative),La Almunia de Doña Godina (Zaragoza prov.),large,https://www.cosanse.com,cosanse@cosanse.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.cosanse.com,"Batch-3 directory candidate (broadened filter): Agri-food (fruit cooperative), La Almunia de Doña Godina. Assess corporate-housing fit/size.",partial,cosanse@cosanse.com,Pattern undetermined
Latexco España S.A.U.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Manufacturing (latex cores/bedding),La Almunia de Doña Godina (Zaragoza prov.),~80,https://www.latexco.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.latexco.com,"Batch-3 directory candidate (broadened filter): Manufacturing (latex cores/bedding), La Almunia de Doña Godina. Assess corporate-housing fit/size.",list-only,None found verbatim,info@latexco.com (inferred)
SMR Automotive Systems Spain S.A.U.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Automotive (mirrors/components),Épila (Zaragoza prov.),~350,https://www.smr-automotive.com,stephan.gonzalez@smr-automotive.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.smr-automotive.com,"Batch-3 directory candidate (broadened filter): Automotive (mirrors/components), Épila. Assess corporate-housing fit/size.",partial,stephan.gonzalez@smr-automotive.com,Pattern undetermined
Calvera Hydrogen S.A.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Engineering (high-pressure gas/H2 equipment),Épila (Zaragoza prov.),mid,https://www.calvera.es,calvera.innovation@calvera.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.calvera.es,"Batch-3 directory candidate (broadened filter): Engineering (high-pressure gas/H2 equipment), Épila. Assess corporate-housing fit/size.",partial,calvera.innovation@calvera.es,Pattern undetermined
Auxiliar Metalgráfica Aragonesa (Grupo Auximara),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Metal packaging (metalgraphy),Épila (Zaragoza prov.),mid,https://www.grupoauximara.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.grupoauximara.com,"Batch-3 directory candidate (broadened filter): Metal packaging (metalgraphy), Épila. Assess corporate-housing fit/size.",list-only,None found verbatim,info@grupoauximara.com (inferred)
Gerresheimer Zaragoza S.A.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Packaging plastic/glass (pharma),Épila (Zaragoza prov.),large,https://www.gerresheimer.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.gerresheimer.com,"Batch-3 directory candidate (broadened filter): Packaging plastic/glass (pharma), Épila. Assess corporate-housing fit/size.",list-only,None found verbatim,info@gerresheimer.com (inferred)
Lear Corporation Asientos S.L.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Automotive (seating/components),Épila (Zaragoza prov.),large,https://www.lear.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.lear.com,"Batch-3 directory candidate (broadened filter): Automotive (seating/components), Épila. Assess corporate-housing fit/size.",list-only,None found verbatim,info@lear.com (inferred)
Proma Hispania S.A.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Automotive (metal components),Épila (Zaragoza prov.),mid,https://www.gruppoproma.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.gruppoproma.com,"Batch-3 directory candidate (broadened filter): Automotive (metal components), Épila. Assess corporate-housing fit/size.",list-only,None found verbatim,info@gruppoproma.com (inferred)
Pagola Poliuretanos S.A.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Manufacturing (polyurethane/foam),Épila (Zaragoza prov.),mid,https://pagolapoliuretanos.com,administracion@pagolapoliuretanos.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://pagolapoliuretanos.com,"Batch-3 directory candidate (broadened filter): Manufacturing (polyurethane/foam), Épila. Assess corporate-housing fit/size.",partial,administracion@pagolapoliuretanos.com,Pattern undetermined
bonÀrea (Épila Food Centre),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Agri-food/logistics,Épila (Zaragoza prov.),very large,https://www.bonarea-agrupa.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.bonarea-agrupa.com,"Batch-3 directory candidate (broadened filter): Agri-food/logistics, Épila. Assess corporate-housing fit/size.",list-only,None found verbatim,info@bonarea-agrupa.com (inferred)
Grandes Vinos y Viñedos S.A.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Winery (DOP Cariñena),Cariñena (Zaragoza prov.),large,https://www.grandesvinos.com,info@grandesvinos.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.grandesvinos.com,"Batch-3 directory candidate (broadened filter): Winery (DOP Cariñena), Cariñena. Assess corporate-housing fit/size.",partial,info@grandesvinos.com,Pattern undetermined
S.A.T. nº75 Cariñena Vitivinícola,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Winery/viticulture (DOP Cariñena),Cariñena (Zaragoza prov.),mid-large,https://www.grandesvinos.com,carinenaviticola@grandesvinos.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.grandesvinos.com,"Batch-3 directory candidate (broadened filter): Winery/viticulture (DOP Cariñena), Cariñena. Assess corporate-housing fit/size.",partial,carinenaviticola@grandesvinos.com,Pattern undetermined
Bodegas San Valero S. Coop. (Grupo BSV),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Winery (DOP Cariñena),Cariñena (Zaragoza prov.),large coop,https://www.sanvalero.com,bsv@sanvalero.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.sanvalero.com,"Batch-3 directory candidate (broadened filter): Winery (DOP Cariñena), Cariñena. Assess corporate-housing fit/size.",partial,bsv@sanvalero.com,Pattern undetermined
Bodegas Añadas (Bodegas Care),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Winery (DOP Cariñena),Cariñena (Zaragoza prov.),mid-large,https://bodegascare.com,bodega@bodegascare.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://bodegascare.com,"Batch-3 directory candidate (broadened filter): Winery (DOP Cariñena), Cariñena. Assess corporate-housing fit/size.",partial,bodega@bodegascare.com,Pattern undetermined
Bodegas Ignacio Marín S.L.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Winery (DOP Cariñena),Cariñena (Zaragoza prov.),mid,https://ignaciomarin.com,administracion@ignaciomarin.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://ignaciomarin.com,"Batch-3 directory candidate (broadened filter): Winery (DOP Cariñena), Cariñena. Assess corporate-housing fit/size.",partial,administracion@ignaciomarin.com,Pattern undetermined
Bodegas Solar de Urbezo S.L.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Winery (DOP Cariñena),Cariñena (Zaragoza prov.),mid,https://www.solardeurbezo.es,info@solardeurbezo.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.solardeurbezo.es,"Batch-3 directory candidate (broadened filter): Winery (DOP Cariñena), Cariñena. Assess corporate-housing fit/size.",partial,info@solardeurbezo.es,Pattern undetermined
Bodegas Luis Marín Pardos S.L.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Winery (DOP Cariñena),Cariñena (Zaragoza prov.),small-mid,https://www.luismarin.eu,luismarin@luismarin.eu,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.luismarin.eu,"Batch-3 directory candidate (broadened filter): Winery (DOP Cariñena), Cariñena. Assess corporate-housing fit/size.",partial,luismarin@luismarin.eu,Pattern undetermined
CEMEX España (Fábrica Morata),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Construction materials (cement),Morata de Jalón (Zaragoza prov.),~479,https://www.cemex.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.cemex.es,"Batch-3 directory candidate (broadened filter): Construction materials (cement), Morata de Jalón. Assess corporate-housing fit/size.",list-only,None found verbatim,info@cemex.es (inferred)
Frutas Agrotrain S.L.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Agri-food (fruit: cherries),Ricla (Zaragoza prov.),mid,https://www.agrotrain.com,frutas@agrotrain.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.agrotrain.com,"Batch-3 directory candidate (broadened filter): Agri-food (fruit: cherries), Ricla. Assess corporate-housing fit/size.",partial,frutas@agrotrain.com,Pattern undetermined
Bodegas Ateca (Viñas Familia Gil),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Winery (DOP Calatayud),Ateca (Zaragoza prov.),mid,https://www.gilfamily.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.gilfamily.es,"Batch-3 directory candidate (broadened filter): Winery (DOP Calatayud), Ateca. Assess corporate-housing fit/size.",list-only,None found verbatim,info@gilfamily.es (inferred)
Chocolates Valor (Planta Ateca),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Agri-food (chocolate/snacks),Ateca (Zaragoza prov.),large plant,https://www.valor.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.valor.es,"Batch-3 directory candidate (broadened filter): Agri-food (chocolate/snacks), Ateca. Assess corporate-housing fit/size.",list-only,None found verbatim,info@valor.es (inferred)
DICSA (Distribuidora Internacional Carmen),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Hydraulic/pneumatic components & inox fittings mfg,"P.I. Alcalde Caballero, Zaragoza",medium-large,https://www.dicsaes.com,info@dicsaes.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.dicsaes.com,"Batch-3 directory candidate (broadened filter): Hydraulic/pneumatic components & inox fittings mfg, P.I. Alcalde Caballero, Zaragoza. Assess corporate-housing fit/size.",partial,info@dicsaes.com,Pattern undetermined
Maquinaria de Limpieza Bellvis,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial cleaning machinery dist/service,"P.I. Alcalde Caballero, Zaragoza",small-medium,https://www.bellvis.net,info@bellvis.net,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.bellvis.net,"Batch-3 directory candidate (broadened filter): Industrial cleaning machinery dist/service, P.I. Alcalde Caballero, Zaragoza. Assess corporate-housing fit/size.",partial,info@bellvis.net,Pattern undetermined
"Camilo Bellvis Castillo, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Machinery & inox steel transformation,"P.I. San Valero, Zaragoza",small-medium,https://www.bellvis.com,cbc@bellvis.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.bellvis.com,"Batch-3 directory candidate (broadened filter): Machinery & inox steel transformation, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",partial,cbc@bellvis.com,Pattern undetermined
"Gala Gar, S.A.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Welding equipment & gas regulators mfg,"P.I. Cogullada, Zaragoza",medium,https://www.galagar.com,info@galagar.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.galagar.com,"Batch-3 directory candidate (broadened filter): Welding equipment & gas regulators mfg, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",partial,info@galagar.com,Pattern undetermined
"Engranajes Ebro, S.C.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Gear manufacturing/machining,"P.I. Cogullada, Zaragoza",small-medium,https://www.engranajesebro.com,info@engranajesebro.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.engranajesebro.com,"Batch-3 directory candidate (broadened filter): Gear manufacturing/machining, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",partial,info@engranajesebro.com,Pattern undetermined
"Industrial Plastigráfica, S.A.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Plastics/printing mfg,"P.I. Cogullada, Zaragoza",small-medium,https://www.plastigraf.net,plastigraf@plastigraf.net,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.plastigraf.net,"Batch-3 directory candidate (broadened filter): Plastics/printing mfg, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",partial,plastigraf@plastigraf.net,Pattern undetermined
"Mecánicas de la Serna, S.A.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Machining / mechanical transmissions,"P.I. Cogullada, Zaragoza",small-medium,https://www.mecanicasdelaserna.com,comercial@mecanicasdelaserna.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.mecanicasdelaserna.com,"Batch-3 directory candidate (broadened filter): Machining / mechanical transmissions, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",partial,comercial@mecanicasdelaserna.com,Pattern undetermined
"Kalfrisa, S.A.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),"Engineering: heat recovery, incineration, gas treatment","P.I. Malpica/Cogullada, Zaragoza",medium,https://www.kalfrisa.com,info@kalfrisa.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.kalfrisa.com,"Batch-3 directory candidate (broadened filter): Engineering: heat recovery, incineration, gas treatment, P.I. Malpica/Cogullada, Zaragoza. Assess corporate-housing fit/size.",partial,info@kalfrisa.com,Pattern undetermined
"Pincolor, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial paint & coatings dist,"P.I. Cogullada, Zaragoza",small-medium,https://www.pincolor.com,pincolor@pincolor.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.pincolor.com,"Batch-3 directory candidate (broadened filter): Industrial paint & coatings dist, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",partial,pincolor@pincolor.com,Pattern undetermined
"Araiz Suministros Eléctricos, S.A.U.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Electrical material distribution,"P.I. Cogullada, Zaragoza",medium-large,https://www.araiz.es,araiz@araiz.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.araiz.es,"Batch-3 directory candidate (broadened filter): Electrical material distribution, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",partial,araiz@araiz.es,Pattern undetermined
"CML / Central Mensajeros Logística 2008, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),"Logistics, express transport & courier","P.I. Cogullada, Zaragoza",medium,https://www.cml.es,cml@cml.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.cml.es,"Batch-3 directory candidate (broadened filter): Logistics, express transport & courier, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",partial,cml@cml.es,Pattern undetermined
Montajes Pineta,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),"Boilermaking & metal structures, silos","P.I. Malpica, Zaragoza",small,https://www.montajespineta.es,montajespineta@montajespineta.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.montajespineta.es,"Batch-3 directory candidate (broadened filter): Boilermaking & metal structures, silos, P.I. Malpica, Zaragoza. Assess corporate-housing fit/size.",partial,montajespineta@montajespineta.es,Pattern undetermined
"Dana Automoción, S.A. (Glaser)",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Automotive gaskets & heat shields mfg,"P.I. Malpica, Zaragoza",large,https://www.dana.com,glaser.info@dana.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.dana.com,"Batch-3 directory candidate (broadened filter): Automotive gaskets & heat shields mfg, P.I. Malpica, Zaragoza. Assess corporate-housing fit/size.",partial,glaser.info@dana.com,Pattern undetermined
Sumiden Group,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial supplies distribution,"P.I. Malpica II, Zaragoza",small-medium,https://www.sumiden.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.sumiden.es,"Batch-3 directory candidate (broadened filter): Industrial supplies distribution, P.I. Malpica II, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@sumiden.es (inferred)
